"Country","Water Per Capita","GDP/Capita","WB Region","GDP"
"Afghanistan",2008,618.332789965442,"South Asia",21969414112.4281
"Albania",10425,4868.1973465433,"Europe & Central Asia",13988555742.8063
"Algeria",294.2,4825.17858541283,"Middle East & North Africa",199367413967.446
"Andorra",4479,43942.9381865109,"Europe & Central Asia",3382068237.52481
"Angola",5931,3484.59951491702,"Sub - Saharan Africa",103785984479.995
"Antigua and Barbuda",566.3,13618.3597014332,"Latin America and the Caribbean",1389236109.8626
"Argentina",20181,10398.0924648569,"Latin America and the Caribbean",460334377833.471
"Armenia",2574,4219.36854935891,"Europe & Central Asia",12364648565.4688
"Australia",20527,55925.9318168028,"East Asia & Pacific",1375718249724.1
"Austria",9093,49129.2336646382,"Europe & Central Asia",432789834749.335
"Azerbaijan",3555,5805.13453500275,"Europe & Central Asia",57252727186.9126
"Bahamas, The",1804,26538.945633475,"Latin America and the Caribbean",10492464084.5963
"Bahrain",84.24,22111.4772372579,"Middle East & North Africa",33003237140.6953
"Bangladesh",7621,1093.04927364567,"South Asia",179992151721.964
"Barbados",281.5,16503.4783580737,"Latin America and the Caribbean",4715357332.99045
"Belarus",6097,6375.81728989233,"Europe & Central Asia",60620473815.135
"Belgium",1620,46078.9290873069,"Europe & Central Asia",524012714948.032
"Belize",60479,4315.22498884922,"Latin America and the Caribbean",1616832814.04701
"Benin",2426,859.952685787737,"Sub - Saharan Africa",9610566350.93653
"Bhutan",100671,2955.81111383128,"South Asia",2387142613.64128
"Bolivia",53520,2522.79392024905,"Latin America and the Caribbean",27880909289.0244
"Bosnia and Herzegovina",9843,5561.28795142805,"Europe & Central Asia",19503531387.5533
"Botswana",5411,7523.21631997899,"Sub - Saharan Africa",17240661435.0594
"Brazil",41603,10888.9823851831,"Latin America and the Caribbean",2278936372567.307
"Brunei Darussalam",20085,31439.923720596,"East Asia & Pacific",13478200979.2483
"Bulgaria",2979,8311.93089892045,"Europe & Central Asia",58815148233.383
"Burkina Faso",745.6,688.533891370075,"Sub - Saharan Africa",13215293997.0124
"Burundi",1122,212.547422124026,"Sub - Saharan Africa",2309167268.07383
"Cabo Verde",576.4,3536.95687140388,"Sub - Saharan Africa",1932550791.05262
"Cambodia",30562,1135.15190231609,"East Asia & Pacific",18168529608.2286
"Cameroon",12127,1503.53459505128,"Sub - Saharan Africa",36165610684.419
"Canada",80746,51315.8889749374,"North America",1883707911710.79
"Central African Republic",28776,335.026085592608,"Sub - Saharan Africa",1560913334.86281
"Chad",3256,823.434891687717,"Sub - Saharan Africa",12269174945.5376
"Chile",51432,15059.5301407621,"Latin America and the Caribbean",271895690380.202
"China",2018,7329.08929913216,"East Asia & Pacific",10161012758870.3
"Colombia",48933,7600.75914370259,"Latin America and the Caribbean",372935921852.641
"Comoros",1522,769.929765555446,"Sub - Saharan Africa",626655075.342764
"Congo, Dem. Rep.",16605,409.117369530921,"Sub - Saharan Africa",33277601928.2367
"Congo, Rep.",180087,2576.39611691466,"Sub - Saharan Africa",13553775872.0588
"Costa Rica",23502,9791.99568084512,"Latin America and the Caribbean",48037268859.2239
"Cote d'Ivoire",3706,1632.67749323841,"Sub - Saharan Africa",39665491528.8538
"Croatia",24882,15219.8827850368,"Europe & Central Asia",62792670406.2264
"Cuba",3347,6444.98011316934,"Latin America and the Caribbean",73868701308.4427
"Czech Republic",1247,22779.2918994314,"Europe & Central Asia",241262838218.161
"Denmark",1058,61582.166068968,"Europe & Central Asia",355304650098.016
"Djibouti",337.9,1325.99072352076,"Middle East & North Africa",1128611700.3618
"Dominica",2752,6556.65177977887,"Latin America and the Caribbean",484700482.820153
"Dominican Republic",2232,7153.07871811932,"Latin America and the Caribbean",77017184251.8333
"Ecuador",27403,5269.61757039174,"Latin America and the Caribbean",87606643822.0677
"Egypt, Arab Rep.",637.1,2785.37002141784,"Middle East & North Africa",271721622290.248
"El Salvador",4288,3463.54357848836,"Latin America and the Caribbean",22089971802.6927
"Equatorial Guinea",30766,11486.6109582173,"Sub - Saharan Africa",14561450359.0116
"Eritrea",1399,514.179598235775,"Sub - Saharan Africa",2300794306.42964
"Estonia",9756,18977.3943983974,"Europe & Central Asia",24964382783.2038
"Eswatini",3504,3914.01685925031,"Sub - Saharan Africa",5351455206.87742
"Ethiopia",1227,549.847872764768,"Sub - Saharan Africa",57710624015.1401
"Fiji",32003,4322.98623766442,"East Asia & Pacific",3914472684.17761
"Finland",19989,47057.6190471053,"Europe & Central Asia",259348797027.169
"France",3277,42567.7436477565,"Europe & Central Asia",2857089402048.003
"Gabon",96232,9442.02628324643,"Sub - Saharan Africa",19121396781.1748
"Gambia, The",4018,534.269483616798,"Sub - Saharan Africa",1122269380.66197
"Georgia",15832,4290.16785017122,"Europe & Central Asia",15946982915.8715
"Germany",1909,46747.1924708096,"Europe & Central Asia",3865759081373.601
"Ghana",2050,1813.83558289885,"Sub - Saharan Africa",52299462264.3043
"Greece",6244,23027.4134527969,"Europe & Central Asia",247784663293.158
"Grenada",1873,8957.592461052,"Latin America and the Caribbean",965852407.112932
"Guatemala",7826,3124.21035935645,"Latin America and the Caribbean",52841341285.6064
"Guinea",17924,822.925635177795,"Sub - Saharan Africa",10465290137.4678
"Guinea-Bissau",17028,604.624544213481,"Sub - Saharan Africa",1125377385.5273
"Guyana",353279,3871.39069470635,"Latin America and the Caribbean",3011396094.39359
"Haiti",1310,728.920402909597,"Latin America and the Caribbean",8004441867.12255
"Honduras",11413,2210.58728051237,"Latin America and the Caribbean",20481239263.2949
"Hungary",10553,15647.8460274975,"Europe & Central Asia",153053569271.399
"Iceland",516090,49910.0055207086,"Europe & Central Asia",17033486324.1295
"India",1458,1963.54632112944,"South Asia",2629542211700.508
"Indonesia",7839,4130.66327585856,"East Asia & Pacific",1090459494378.56
"Iran, Islamic Rep.",1732,6946.85658114441,"Middle East & North Africa",563826247961.828
"Iraq",2467,5545.93729055897,"Middle East & North Africa",212268631248.1
"Ireland",11092,74433.4556552143,"Europe & Central Asia",358293477609.585
"Israel",220.7,34134.8056061387,"Middle East & North Africa",297396080362.923
"Italy",3199,34877.8291405126,"Europe & Central Asia",2111901941464.099
"Jamaica",3874,4798.20849913382,"Latin America and the Caribbean",13868257226.838
"Japan",3397,48556.9272446078,"East Asia & Pacific",6156328720578.607
"Jordan",123.4,3238.25200473693,"Middle East & North Africa",31418664052.9154
"Kazakhstan",6150,10857.3772771941,"Europe & Central Asia",195841527814.472
"Kenya",666.7,1169.34364694587,"Sub - Saharan Africa",58116217883.7864
"Korea, Rep.",1386,26152.0307748563,"East Asia & Pacific",1345945672416.94
"Kuwait",5.14,33545.6176294552,"Middle East & North Africa",138762386601.535
"Kyrgyz Republic",3976,1070.3234059346,"Europe & Central Asia",6637610601.9034
"Lao PDR",49030,1730.40481476004,"East Asia & Pacific",11867393084.3947
"Latvia",17736,15553.3279725467,"Europe & Central Asia",30184965729.4402
"Lebanon",769.6,7197.63042059815,"Middle East & North Africa",43778557772.1381
"Lesotho",1415,1409.21694826995,"Sub - Saharan Africa",3147259170.03227
"Liberia",51521,352.285953096392,"Sub - Saharan Africa",1666984015.17253
"Libya",111.5,7314.6243955018,"Middle East & North Africa",46627921705.5561
"Lithuania",8513,16793.2500425428,"Europe & Central Asia",47486625803.5491
"Luxembourg",6172,107865.273531068,"Europe & Central Asia",64659730352.9251
"Macedonia, FYR",3080,5245.3596064345,"Europe & Central Asia",10926923317.7401
"Madagascar",13906,421.891245665385,"Sub - Saharan Africa",10788136744.3288
"Malawi",1004,486.445325013324,"Sub - Saharan Africa",9058635432.71192
"Malaysia",19122,11521.4544635159,"East Asia & Pacific",364357517618.205
"Maldives",82.49,8980.03398204722,"South Asia",3918258227.38666
"Mali",6818,762.225969530664,"Sub - Saharan Africa",14133178682.5182
"Malta",120.6,27145.8105379443,"Middle East & North Africa",12630728476.8212
"Mauritania",2802,1305.20504287568,"Sub - Saharan Africa",5769246447.2384
"Mauritius",2161,10186.0538222188,"Sub - Saharan Africa",12881416082.2775
"Mexico",3637,9946.15799447644,"Latin America and the Caribbean",1284678350180.167
"Moldova",3015,2165.15640421854,"Europe & Central Asia",7685763945.87477
"Mongolia",11761,4071.09328952564,"East Asia & Pacific",12521245862.6497
"Morocco",843.6,3292.4451382631,"Middle East & North Africa",119490103786.433
"Mozambique",7760,518.960877316604,"Sub - Saharan Africa",15396964121.6007
"Myanmar",21671,1484.2007463891,"East Asia & Pacific",79212697713.041
"Namibia",16230,5854.86161607748,"Sub - Saharan Africa",14835013233.6474
"Nepal",7372,728.400081143202,"South Asia",21345762921.1014
"Netherlands",5377,53597.8343255379,"Europe & Central Asia",918283870215.63
"New Zealand",72201,37852.8735920204,"East Asia & Pacific",181462890712.787
"Nicaragua",27047,2016.31994999177,"Latin America and the Caribbean",12536632610.9898
"Niger",1711,395.937288666239,"Sub - Saharan Africa",8503682934.86128
"Nigeria",1571,2412.40999958204,"Sub - Saharan Africa",460496045439.726
"Norway",75417,91218.6184273408,"Europe & Central Asia",481837084285.123
"Oman",311.7,16144.4072165264,"Middle East & North Africa",74849701690.5071
"Pakistan",1306,1222.52390632114,"South Asia",240856714914.19
"Panama",35454,11513.2776835837,"Latin America and the Caribbean",47188170241.3263
"Papua New Guinea",105132,2401.57138123615,"East Asia & Pacific",19815754521.1432
"Paraguay",58412,3905.92997076793,"Latin America and the Caribbean",26604449092.1017
"Peru",59916,6172.69358983485,"Latin America and the Caribbean",198547683073.429
"Philippines",4757,2891.35889010634,"East Asia & Pacific",303355852254.477
"Poland",1567,15751.233833289,"Europe & Central Asia",598166351606.805
"Portugal",7478,23116.5793325883,"Europe & Central Asia",237955548774.292
"Puerto Rico",1928,27308.9938782031,"Latin America and the Caribbean",93028633825.9765
"Qatar",25.95,65696.3871315716,"Middle East & North Africa",173386627577.902
"Romania",10866,10932.3271455023,"Europe & Central Asia",214126451996.14
"Russian Federation",31543,11441.0034569958,"Europe & Central Asia",1680005299557.78
"Rwanda",1146,765.224557813422,"Sub - Saharan Africa",9342172848.18128
"Sao Tome and Principe",11456,1305.62191401799,"Sub - Saharan Africa",266773808.825555
"Saudi Arabia",76.09,20796.319460318,"Middle East & North Africa",684993600000
"Senegal",2576,1134.0822404205,"Sub - Saharan Africa",17975846535.2953
"Serbia",18326,5992.28206872581,"Europe & Central Asia",42079410618.1871
"Sierra Leone",24795,462.457598227353,"Sub - Saharan Africa",3494890110.81493
"Singapore",107.1,55235.5128859343,"East Asia & Pacific",309995672900.623
"Slovak Republic",9233,19897.1535070024,"Europe & Central Asia",108238366185.515
"Slovenia",15411,25662.4149142155,"Europe & Central Asia",53037744699.125
"Solomon Islands",76594,1521.29430261452,"East Asia & Pacific",930032622.843267
"South Africa",942.4,7524.51118439041,"Sub - Saharan Africa",426768874668.815
"Spain",2418,32405.7508143881,"Europe & Central Asia",1509201534288.7
"Sri Lanka",2549,3842.29599928337,"South Asia",82394195408.6326
"St. Kitts and Nevis",431.9,15779.3196405504,"Latin America and the Caribbean",873306445.50626
"St. Lucia",1622,8554.58635432944,"Latin America and the Caribbean",1529936441.95369
"St. Vincent and the Grenadines",913.2,6741.82706709859,"Latin America and the Caribbean",740906569.192933
"Sudan",939.5,1959.15352249776,"Sub - Saharan Africa",79411016248.064
"Suriname",182320,8043.46212394566,"Latin America and the Caribbean",4531702647.55523
"Sweden",17793,56935.1882703156,"Europe & Central Asia",573208900097.34
"Switzerland",6447,76667.4440397307,"Europe & Central Asia",649067884586.909
"Tajikistan",2583,1015.4721888036,"Europe & Central Asia",9059375703.27769
"Tanzania",1800,900.523016689198,"Sub - Saharan Africa",50098249469.476
"Thailand",6454,6125.66028889635,"East Asia & Pacific",422900351828.266
"Timor-Leste",6932,2672.09709624942,"East Asia & Pacific",3463868858.93619
"Togo",2012,577.382256121762,"Sub - Saharan Africa",4502250154.26713
"Trinidad and Tobago",2824,15350.8505836628,"Latin America and the Caribbean",21017233305.3574
"Tunisia",410.1,4303.9636111504,"Middle East & North Africa",49633854967.165
"Turkey",2690,14933.2652100066,"Europe & Central Asia",1205786798047.284
"Turkmenistan",4609,7317.54950612294,"Europe & Central Asia",42134998872.4689
"Uganda",1540,666.60583527046,"Sub - Saharan Africa",28572697919.7527
"Ukraine",3911,2991.62931126967,"Europe & Central Asia",127100786329.956
"United Arab Emirates",16.38,41197.1687786643,"Middle East & North Africa",387259360108.918
"United Kingdom",2271,42514.487450259,"Europe & Central Asia",2806903096896.071
"United States",9538,53128.5396999252,"North America",17304984279400
"Uruguay",50175,14362.5612139255,"Latin America and the Caribbean",49647783476.237
"Uzbekistan",1635,2031.04775414078,"Europe & Central Asia",65779949822.9082
"Vanuatu",37793,2939.52070657415,"East Asia & Pacific",812024958.066869
"Venezuela, RB",42594,13709.0430546282,"Latin America and the Caribbean",421393747431.435
"Vietnam",9461,1834.65159472369,"East Asia & Pacific",175284081081.177
"West Bank and Gaza",179.3,2494.05701581982,"Middle East & North Africa",12136735451.64
"Yemen, Rep.",78.26,432.386103944614,"Middle East & North Africa",11927030389.4484
"Zambia",6464,1646.14383527275,"Sub - Saharan Africa",28139396718.851
"Zimbabwe",1282,927.398657961914,"Sub - Saharan Africa",15329810785.8393
